"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 23 21:58:16 GMT 2021","Mon Aug 23 21:58:19 GMT 2021","2971","","Registration_Test","","Registration_Test","testNotMatchPasswordRegistration","REG-04 REGISTRATION no password validation",""
"passed","Mon Aug 23 21:54:29 GMT 2021","Mon Aug 23 21:54:36 GMT 2021","7262","","PT_Tests","","PT_Tests","testMoreTrainerInfo","PTRa-02 OPEN Trainer's page by More Info button",""
"passed","Mon Aug 23 21:55:19 GMT 2021","Mon Aug 23 21:56:52 GMT 2021","93457","","PT_Tests","","PT_Tests","testFindFreeTrainings","PTR-12 TEST the SUM of ALL FREE Trainings by CSS SELECTOR",""
"passed","Mon Aug 23 21:55:09 GMT 2021","Mon Aug 23 21:55:12 GMT 2021","2625","","PT_Tests","","PT_Tests","testOfBodyFitButton","PTR-09 TEST menu (Shape)",""
"passed","Mon Aug 23 21:57:02 GMT 2021","Mon Aug 23 21:57:09 GMT 2021","6336","","Account_Test","","Account_Test","testWrongPassword","ACT-02 CHANGE PASSWORD attempt, wrong password format",""
"passed","Mon Aug 23 21:58:07 GMT 2021","Mon Aug 23 21:58:10 GMT 2021","3037","","Registration_Test","","Registration_Test","testNoEmailRegistration","REG-01 REGISTRATION no email",""
"passed","Mon Aug 23 21:54:42 GMT 2021","Mon Aug 23 21:54:47 GMT 2021","4971","","PT_Tests","","PT_Tests","testChooseTrainingType","PTR-02 SEARCH on training type",""
"passed","Mon Aug 23 21:57:09 GMT 2021","Mon Aug 23 21:57:15 GMT 2021","6590","","Account_Test","","Account_Test","testWrongConfirmPassword","ACT-03 CHANGE PASSWORD with wrong verification",""
"passed","Mon Aug 23 21:57:42 GMT 2021","Mon Aug 23 21:57:49 GMT 2021","6925","","Account_Test","","Account_Test","testDeleteBillingDetails","ACT-08 Delete all BILLING details, but the name",""
"passed","Mon Aug 23 21:58:02 GMT 2021","Mon Aug 23 21:58:07 GMT 2021","4835","","LoginLogout_Test","","LoginLogout_Test","testLogout","LOG-04 LOGOUT",""
"passed","Mon Aug 23 21:58:25 GMT 2021","Mon Aug 23 21:58:37 GMT 2021","12367","","GDPR_Test","","GDPR_Test","TestOpenGDPR","GPR-01 Save GDPR to file",""
"passed","Mon Aug 23 21:57:57 GMT 2021","Mon Aug 23 21:58:02 GMT 2021","4650","","LoginLogout_Test","","LoginLogout_Test","testLogin","LOG-04 LOGIN",""
"passed","Mon Aug 23 21:54:59 GMT 2021","Mon Aug 23 21:55:02 GMT 2021","3564","","PT_Tests","","PT_Tests","testOfMeditationButton","PTR-06 TEST menu (Meditation)",""
"passed","Mon Aug 23 21:57:22 GMT 2021","Mon Aug 23 21:57:29 GMT 2021","7214","","Account_Test","","Account_Test","testUploadAccountBillingDetails","ACT-05 SET BILLING DETAILS",""
"passed","Mon Aug 23 21:55:02 GMT 2021","Mon Aug 23 21:55:06 GMT 2021","3270","","PT_Tests","","PT_Tests","testOfKardioButton","PTR-07 TEST menu (Cardio)",""
"passed","Mon Aug 23 21:57:15 GMT 2021","Mon Aug 23 21:57:22 GMT 2021","6135","","Account_Test","","Account_Test","testChangePassword","ACT-04 CHANGE PASSWORD - with correct data",""
"passed","Mon Aug 23 21:54:56 GMT 2021","Mon Aug 23 21:54:59 GMT 2021","3258","","PT_Tests","","PT_Tests","testOfStrechingButton","PTR-05 TEST menu (Streching)",""
"passed","Mon Aug 23 21:54:52 GMT 2021","Mon Aug 23 21:54:56 GMT 2021","3945","","PT_Tests","","PT_Tests","testOfYogaButton","PTR-04 TEST menu (Yoga)",""
"passed","Mon Aug 23 21:55:15 GMT 2021","Mon Aug 23 21:55:19 GMT 2021","3483","","PT_Tests","","PT_Tests","testOfOtherButton","PTR-11 TEST menu (Other)",""
"passed","Mon Aug 23 21:54:13 GMT 2021","Mon Aug 23 21:54:29 GMT 2021","15270","","PT_Tests","","PT_Tests","testSearchTrainer","PTRa-01 FILTER on Personal Trainer's name",""
"passed","Mon Aug 23 21:57:52 GMT 2021","Mon Aug 23 21:57:54 GMT 2021","2645","","LoginLogout_Test","","LoginLogout_Test","testLoginNoPassword","LOG-02 LOGIN attempt without password",""
"passed","Mon Aug 23 21:57:29 GMT 2021","Mon Aug 23 21:57:35 GMT 2021","6208","","Account_Test","","Account_Test","testRestorePassword","ACT-06 Restore LOGIN PASSWORD",""
"passed","Mon Aug 23 21:56:52 GMT 2021","Mon Aug 23 21:56:56 GMT 2021","4242","","TestTest","","TestTest","goToUrl","goToUrl()",""
"passed","Mon Aug 23 21:57:49 GMT 2021","Mon Aug 23 21:57:52 GMT 2021","2692","","LoginLogout_Test","","LoginLogout_Test","testLoginNoEmail","LOG-01 LOGIN attempt withouth mail address",""
"passed","Mon Aug 23 21:57:35 GMT 2021","Mon Aug 23 21:57:42 GMT 2021","7088","","Account_Test","","Account_Test","testModifyBillingDetails","ACT-07 Alter BILLING ADDRESS",""
"passed","Mon Aug 23 21:58:19 GMT 2021","Mon Aug 23 21:58:22 GMT 2021","3279","","Registration_Test","","Registration_Test","testNoClickTermsCondtsRegistration","REG-05 REGISTRATION no user agreement acceptance",""
"passed","Mon Aug 23 21:56:56 GMT 2021","Mon Aug 23 21:57:02 GMT 2021","6106","","Account_Test","","Account_Test","testLoadAccountDetails","ACT-01 SUBMIT user details",""
"passed","Mon Aug 23 21:58:10 GMT 2021","Mon Aug 23 21:58:13 GMT 2021","2873","","Registration_Test","","Registration_Test","testNoPasswordRegistration","REG-02 REGISTRATION no password",""
"passed","Mon Aug 23 21:58:13 GMT 2021","Mon Aug 23 21:58:16 GMT 2021","2938","","Registration_Test","","Registration_Test","testNotValidPasswordRegistration","REG-03 REGISTRATION wrong password",""
"skipped","Mon Aug 23 21:58:25 GMT 2021","Mon Aug 23 21:58:25 GMT 2021","0","","Registration_Test","","Registration_Test","testRegistration","REG-07 REGISTRATION",""
"passed","Mon Aug 23 21:57:54 GMT 2021","Mon Aug 23 21:57:57 GMT 2021","3037","","LoginLogout_Test","","LoginLogout_Test","testLoginWrongPassword","LOG-03 LOGIN attempt wrong password",""
"passed","Mon Aug 23 21:58:22 GMT 2021","Mon Aug 23 21:58:25 GMT 2021","3144","","Registration_Test","","Registration_Test","testNoClickPrivacyPolicyRegistration","REG-06 REGISTRATION no GDPR acceptance",""
"passed","Mon Aug 23 21:55:06 GMT 2021","Mon Aug 23 21:55:09 GMT 2021","3521","","PT_Tests","","PT_Tests","testOfPilatesButton","PTR-08 TEST menu (PILATES)",""
"passed","Mon Aug 23 21:54:36 GMT 2021","Mon Aug 23 21:54:42 GMT 2021","5844","","PT_Tests","","PT_Tests","testSaveTrainingDetailsToFile","PTR-01 SAVE Notification data to txt file",""
"passed","Mon Aug 23 21:55:12 GMT 2021","Mon Aug 23 21:55:15 GMT 2021","3218","","PT_Tests","","PT_Tests","testOfMuscleButton","PTR-10 TEST menu (Strength)",""
"passed","Mon Aug 23 21:54:47 GMT 2021","Mon Aug 23 21:54:52 GMT 2021","4940","","PT_Tests","","PT_Tests","testChooseNotValidTrainingType","PTR-03 SEARCH on wrong training type",""
